甲不开仓 财物耗散：逢甲日或逢甲时不能开仓开库，违之将会带来破财之果。
乙不栽植 千株不长：逢乙日或逢乙时不能进行农务方面的栽种。
丙不修灶 必见灾殃：逢丙日或逢丙时不能进行新建或维修厨房、灶台、炉具等。
丁不剃头 头必生疮：逢丁日或逢丁时不能理发，违之可能会引发头疾。
戊不受田 田主不祥：逢戊日或逢戊时不能买田地或房产，违之将会给买主带来不祥之兆。
己不破券 二比并亡：逢己日或逢己时不能去调动钱财，更不能进行风险投资，违之将钱财两空。
庚不经络 织机虚张：逢庚日或逢庚时不能进行量体裁衣和缝补衣物。
辛不合酱 主人不尝：逢辛日或逢辛时酿造行业的不能进行发酵和勾兑等事。
壬不汲水 更难提防：逢壬日或逢壬时不能进水放水近水，容易发溺淹之灾。
癸不词讼 理弱敌强：逢癸日或逢癸时不能诉讼之事，违之将可能引起败诉之果。
子不问卜 自惹祸殃：逢子日或逢子时不能求神问卜起卦之事，违之将自惹缠身之祸殃。
丑不冠带 主不还乡：逢丑日或逢丑时不能举行戴冠之礼，违之将可能有客死他乡之祸
寅不祭祀 神鬼不尝：逢寅日或逢寅时不能祭祀神鬼，违之将自惹神鬼缠身之祸。
卯不穿井 水泉不香：逢卯日或逢卯时不能挖井。
辰不哭泣 必主重丧：逢辰日或逢辰时不能哭泣，如违之将有不祥之灾。
巳不远行 财物伏藏：逢巳日或逢巳时不能远行并将自已重要财物隐蔽地藏起来，以防损失。
午不苫盖 屋主更张：逢午日或逢午时不能搭盖庐舍、草屋、修房顶之事。
未不服药 毒气入肠：逢未日或逢未时不能服药。
申不安床 鬼祟入房：逢申日或逢申时不能移动床位或新装床铺。
酉不宴客 醉坐颠狂：逢酉日或逢酉时不能宴请客人或去赴宴。
戌不吃犬 作怪上床：逢戌日或逢戌时不能吃狗肉。
亥不嫁娶 不利新郎：逢亥日或逢亥时不能进行婚姻嫁娶之事。
